mainShipmentRouteNumber,speed,time,truckNumber,timestamp,shipmentEndCity,shipmentStartCity,city,country,activity
111,0,2014-04-21 21:40:34,2010,1398116434,AMS,LHR,London Heathrow Airport,GB,Attach container
105,0,2014-04-18 20:59:35,2003,1397854775,AMS,LHR,London Heathrow Airport,GB,Attach container
105,0,2014-04-18 20:59:35,2003,1397854775,AMS,LHR,London Heathrow Airport,GB,Attach container
105,0,2014-04-18 20:59:35,2003,1397854775,AMS,LHR,London Heathrow Airport,GB,Attach container
106,0,2014-04-19 20:40:57,2005,1397940057,AMS,LHR,London Heathrow Airport,GB,Attach container
105,0,2014-04-18 20:59:35,2003,1397854775,AMS,LHR,London Heathrow Airport,GB,Attach container
105,0,2014-04-18 20:59:35,2003,1397854775,AMS,LHR,London Heathrow Airport,GB,Attach container
103,0,2014-04-16 19:50:27,2003,1397677827,AMS,LHR,London Heathrow Airport,GB,Attach container
102,0,2014-04-16 21:18:16,2002,1397683096,AMS,LHR,London Heathrow Airport,GB,Attach container
102,0,2014-04-16 21:18:16,2002,1397683096,AMS,LHR,London Heathrow Airport,GB,Attach container
102,0,2014-04-16 21:18:16,2002,1397683096,AMS,LHR,London Heathrow Airport,GB,Attach container
105,0,2014-04-18 20:59:35,2003,1397854775,AMS,LHR,London Heathrow Airport,GB,Attach container
104,0,2014-04-19 00:43:12,2004,1397868192,AMS,LHR,London Heathrow Airport,GB,Attach container
103,0,2014-04-16 19:50:27,2003,1397677827,AMS,LHR,London Heathrow Airport,GB,Attach container
107,0,2014-04-20 05:20:15,2006,1397971215,AMS,LHR,Lower Kingswood,GB,Attach container
107,0,2014-04-20 03:42:31,2006,1397965351,AMS,LHR,London Heathrow Airport,GB,Attach container
108,0,2014-04-20 00:14:00,2007,1397952840,AMS,LHR,London Heathrow Airport,GB,Attach container
107,0,2014-04-20 05:20:15,2006,1397971215,AMS,LHR,Lower Kingswood,GB,Attach container
107,0,2014-04-20 03:42:31,2006,1397965351,AMS,LHR,London Heathrow Airport,GB,Attach container
106,0,2014-04-19 20:40:57,2005,1397940057,AMS,LHR,London Heathrow Airport,GB,Attach container
107,0,2014-04-20 05:20:15,2006,1397971215,AMS,LHR,Lower Kingswood,GB,Attach container
105,0,2014-04-18 20:59:35,2003,1397854775,AMS,LHR,London Heathrow Airport,GB,Attach container
107,0,2014-04-20 05:20:15,2006,1397971215,AMS,LHR,Lower Kingswood,GB,Attach container
107,0,2014-04-20 03:42:31,2006,1397965351,AMS,LHR,London Heathrow Airport,GB,Attach container
105,0,2014-04-18 20:59:35,2003,1397854775,AMS,LHR,London Heathrow Airport,GB,Attach container
104,0,2014-04-19 00:43:12,2004,1397868192,AMS,LHR,London Heathrow Airport,GB,Attach container
109,0,2014-04-21 22:34:52,2008,1398119692,AMS,LHR,London Heathrow Airport,GB,Attach container
107,0,2014-04-20 03:42:31,2006,1397965351,AMS,LHR,London Heathrow Airport,GB,Attach container
114,0,2014-04-16 18:26:07,2013,1397672767,AMS,LHR,London Heathrow Airport,GB,Attach container
109,0,2014-04-21 22:34:52,2008,1398119692,AMS,LHR,London Heathrow Airport,GB,Attach container
107,0,2014-04-20 05:20:15,2006,1397971215,AMS,LHR,Lower Kingswood,GB,Attach container
105,0,2014-04-18 20:59:35,2003,1397854775,AMS,LHR,London Heathrow Airport,GB,Attach container
114,0,2014-04-16 18:26:07,2013,1397672767,AMS,LHR,London Heathrow Airport,GB,Attach container
114,0,2014-04-16 18:26:07,2013,1397672767,AMS,LHR,London Heathrow Airport,GB,Attach container
110,0,2014-04-21 19:41:38,2009,1398109298,AMS,LHR,London Heathrow Airport,GB,Attach container
110,0,2014-04-21 19:41:38,2009,1398109298,AMS,LHR,London Heathrow Airport,GB,Attach container
111,0,2014-04-21 21:40:34,2010,1398116434,AMS,LHR,London Heathrow Airport,GB,Attach container
111,0,2014-04-21 21:40:34,2010,1398116434,AMS,LHR,London Heathrow Airport,GB,Attach container
112,0,2014-04-22 02:03:47,2011,1398132227,AMS,LHR,London Heathrow Airport,GB,Attach container
108,0,2014-04-20 00:14:00,2007,1397952840,AMS,LHR,London Heathrow Airport,GB,Attach container
115,0,2014-04-19 01:39:39,2014,1397871579,AMS,LHR,London Heathrow Airport,GB,Attach container
110,0,2014-04-21 19:41:38,2009,1398109298,AMS,LHR,London Heathrow Airport,GB,Attach container
112,0,2014-04-22 02:03:47,2011,1398132227,AMS,LHR,London Heathrow Airport,GB,Attach container
111,0,2014-04-21 21:40:34,2010,1398116434,AMS,LHR,London Heathrow Airport,GB,Attach container
115,0,2014-04-19 01:39:39,2014,1397871579,AMS,LHR,London Heathrow Airport,GB,Attach container
113,0,2014-04-22 05:13:30,2012,1398143610,AMS,LHR,London Heathrow Airport,GB,Attach container
